stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding 
mireckiego-dekada-01,Mireckiego Dekada 01,52.055288,20.441074,0,0
okrzei-01,Okrzei 01,52.05245,20.43719,0,0
okrzei-02,Okrzei 02,52.052076,20.436321,0,0
legionow-polskich-02,Legionów Polskich 02,52.053085,20.431296,0,0
legionow-polskich-01,Legionów Polskich 01,52.053424,20.431141,0,0
wyspianskiego-01,Wyspiańskiego 01,52.049502,20.438563,0,0
mireckiego-szkola-01,Mireckiego Szkoła 01,52.057907,20.447327,0,0
mireckiego-szkola-02,Mireckiego Szkoła 02,52.057994,20.447882,0,0
ossowskiego-02,Ossowskiego 02,52.062161,20.443908,0,0
ossowskiego-01,Ossowskiego 01,52.060933,20.445183,0,0
warynskiego-02,Waryńskiego 02,52.059488,20.438503,0,0
warynskiego-01,Waryńskiego 01,52.06002,20.439668,0,0
jasna-02,Jasna 02,52.060243,20.436453,0,0
jasna-01,Jasna 01,52.060404,20.436062,0,0
piekna-02,Piękna 02,52.063436,20.437253,0,0
piekna-01,Piękna 01,52.064397,20.438749,0,0
pileckiego-01,Pileckiego 01,52.068216,20.448287,0,0
pileckiego-02,Pileckiego 02,52.067578,20.448864,0,0
jaktorowska-02,Jaktorowska 02,52.049471,20.448256,0,0
jaktorowska-01,Jaktorowska 01,52.049459,20.448567,0,0
lelewela-01,Lelewela 01,52.05045,20.454165,0,0
lelewela-02,Lelewela 02,52.050307,20.454519,0,0
wawelska-02,Wawelska 02,52.051299,20.45819,0,0
wawelska-01,Wawelska 01,52.051407,20.458827,0,0
poludniowa-01,Południowa 01,52.053313,20.463827,0,0
chmielna-02,Chmielna 02,52.054421,20.464684,0,0
rownolegla-02,Równoległa 02,52.056815,20.467488,0,0
rownolegla-01,Równoległa 01,52.056825,20.467744,0,0
miedzyborow-moniuszki-01,Międzyborów Moniuszki 01,52.058909,20.481342,0,0
miedzyborow-moniuszki-02,Międzyborów Moniuszki 02,52.059188,20.479623,0,0
fieldorfa-nila-01,Fieldorfa Nila 01,52.066284,20.447344,0,0
fieldorfa-nila-02,Fieldorfa Nila 02,52.066295,20.447076,0,0
miedzyborow-01,Międzyborów 01,52.058345,20.485499,0,0
reymonta-01,Reymonta 01,52.047427,20.442385,0,0
reymonta-02,Reymonta 02,52.047477,20.442938,0,0
piotra-skargi-01,Piotra Skargi 01,52.045308,20.438546,0,0
rolna-01,Rolna 01,52.041678,20.442192,0,0
opolska-01,Opolska 01,52.043306,20.445402,0,0
kanalowa-02,Kanałowa 02,52.047664,20.447244,0,0
skierniewicka-01,Skierniewicka 01,52.046533,20.448218,0,0
wroclawska-01,Wrocławska 01,52.042239,20.452988,0,0
wroclawska-02,Wrocławska 02,52.042756,20.452685,0,0
roszarnicza-01,Roszarnicza 01,52.039493,20.456067,0,0
roszarnicza-02,Roszarnicza 02,52.040193,20.455495,0,0
mickiewicza-rod-01,Mickiewicza ROD 01,52.036624,20.45884,0,0
mickiewicza-rod-02,Mickiewicza ROD 02,52.037035,20.458884,0,0
korytow-szkola-01,Korytów Szkoła 01,52.029621,20.466744,0,0
korytow-szkola-02,Korytów Szkoła 02,52.029563,20.467333,0,0
korytow-osp-01,Korytów OSP 01,52.02472,20.474866,0,0
korytow-osp-02,Korytów OSP 02,52.025138,20.474525,0,0
korytow-polna-02,Korytów Polna 02,52.020947,20.480747,0,0
korytow-polna-01,Korytów Polna 01,52.020634,20.480938,0,0
korytow-las-01,Korytów Las 01,52.017583,20.487509,0,0
korytow-02,Korytów 02,52.030573,20.465281,0,0
korytow-01,Korytów 01,52.030426,20.465287,0,0
peszkowskiego-01,Peszkowskiego 01,52.063703,20.44229,0,0
